title,tags,perks,country,location,company,company_size,company_type,description,experience_level,industry,job_type,link,posted,moeda_original,role,salary_min,salary_max,salary_mean,id
Data Scientist,"python, medical, data-science",Paid relocation,"Massachusetts, EUA",Boston,"Etiometry Inc.
        ",50,Private,"
We are currently seeking a Data Scientist to help us mine information from our rapidly growing set of clinical data. The insight gained from these mining expeditions will help us understand the impact that our technology is having on critical care, determine new use cases for the technology, and develop future versions with more advanced capabilities.  You will be tasked with a range of responsibilities, including data mining, statistical analysis, model development, and database curation/augmentation. You will also participate in preparation of manuscripts for journal publications and of abstracts and talks for scientific conferences. Lastly, you will be actively engaged with Etiometry’s partnering academic medical centers for expanding and enhancing the company’s existing collaborations.
Responsibilities

Manipulate large clinical data sets.
Mine patient data for critical events, outcome variables, and treatment actions.
Perform statistical analysis to understand relationships between clinical variables and Etiometry’s Risk AnalyticsTM technology.
Develop models for prediction and classification utilizing machine learning techniques, such as logistic regression, SVMs, neural networks, decision trees etc.
Provide data mining and data analysis support, including data cleaning, to data customers, such as  Etiometry’s research and development teams and research collaborators from partnering hospitals.
Research current advances in data science and statistical analysis methods.



Publish analysis findings at data science conferences and in journals.

Basic Qualifications

Master’s Degree, or Bachelor’s Degree with 3 years of experience, in engineering, computer science, statistics, bioinformatics, or other related field.
Strong background in statistical analysis, machine learning, and data mining, including regression analysis, classification, predictive modeling, feature engineering, hypothesis testing etc.
Solid understanding of probability theory and statistics.
Experience in manipulating large data sets of time-series and intermittent data.
Strong communication and organization skills.
Proven ability to contribute to emerging or cross-disciplinary fields.
Experience performing independent research.

Desired Qualifications

Experience working with Python as a development language with an emphasis on data science.
Experience with Python data analysis packages such as Scikit Learn, Pandas, and SciPy.
Comfortable working in a Linux-based environment.
Experience working with database types such as MongoDB, MySQL, and Postgres.
Knowledge of Bayesian data analysis methods such as model comparison, Markov chain Monte Carlo sampling, Hierarchical modeling, Generalized linear models, and Bayesian Neural Networks.
Experience working with clinical data.
 ",Mid-Level,"Data & Analytics, Healthcare, Medical Software",Full-time,/jobs/199604/data-scientist-etiometry-inc,2019-01-07 19:51:19.033107,-,Data Scientist,0,0,0.0,0
Senior Platform Developer (Backend Developer),"ruby-on-rails, elixir",,"Califórnia, EUA",San Francisco,"The Real Real
        ",5000,Private,"
The RealReal is leading the way in authenticated luxury consignment, online and in real life at our brick and mortar locations. Founded in 2011, we’re growing fast and fundamentally changing the way people buy and sell luxury — a multi-billion dollar industry. With a team of in-house experts who inspect every item we sell, our commitment to authenticity sets us apart and creates a foundation of trust with shoppers and consignors. Our mission to extend the lifecycle of luxury items is leading innovation in sustainable fashion. We’re proud to promote the circular economy and to be the first luxury member of the Ellen MacArthur Foundation’s prestigious CE100 USA.
Employees at The RealReal are dedicated, collaborative and innovative, and we’re looking for exceptional talent to join our team. Build your career with us and enjoy 401K matching, health, dental and vision insurance, commuter flex spending, healthcare flex spending, generous PTO, a mother’s room, flexible work hours and Friday bagels!
As a Senior Platform Engineer at The RealReal, you'll be a major contributor to TheRealReal's e-commerce platform APIs. You'll build APIs to support our consumer-facing website, mobile applications, internal warehouse and administration tools. The person in this role will own critical systems throughout the platform and be responsible for their performance, adding new features, and ensuring that these systems perform optimally. Thinking about high availability and scalability is a must and your unit of measurement should be in microseconds.
This position will be based out of The RealReal's San Francisco office.
Responsibilities: 

Develop new features throughout the platform, and maintain and enhance existing functionality.
Help define and implement JSON REST APIs.
Help write documentation for APIs and architectural decisions.
Collaborate with senior management, product management, and other engineers in the development of product requirements for the company's software.
Mentor other team members to build the company's overall expertise in software development.
Work to make The RealReal an innovator in the space by bringing passion and new ideas to work every day.

Requirements

A degree in computer science/engineering with a minimum of 5 years of software development.
Fluency in the Elixir and/or Ruby languages, including familiarity with the language's metaprogramming features.
Experience writing applications using Test Driven Development.
A belief that automated testing is essential to building robust, supportable software and a commitment to making automated testing part of the application development process.
Familiarity with how asynchronous message queues are used in web applications and, ideally, experience in using such a framework in one or more real-world applications.
High degree of familiarity with SQL databases, including data modeling in SQL, the use of indices to improve query performance, and the use of constraints and transactions to maintain data integrity.
Practical experience with REST and JSON APIs, and an understanding of how to build applications that serve and consume these sorts of APIs.
Familiarity with HTTP standards.
Expertise in working with cloud systems, specifically for application hosting, file storage, and other related concerns.
Experience integrating with 3rd party services, including social applications (e.g. Facebook, Twitter), communication services (e.g. Twilio, Sendgrid, APNS).
Knowledge of best practices in designing and architecting localized applications.
Comfortable working in an environment where innovation and change are the norms.
A passion for building great products.

Benefits
The RealReal offers a competitive salary, stock options, 401k with company match and a full menu of benefits. Join our team and make some history!
Find us: www.therealreal.com
Follow us: twitter.com/TheRealReal1Like us: facebook.com/TheRealRealPage
Follow us: pinterest.com/therealreal ","Mid-Level, Senior, Lead","eCommerce, Fashion, Retail",Full-time,/jobs/199609/senior-platform-developer-backend-developer-the-real-real,2019-01-07 21:51:19.064124,-,Backend Developer,0,0,0.0,1
Senior Platform Engineer,"node.js, mysql, rest, ecmascript-6, javascript",,"Califórnia, EUA",San Francisco,"Pear Therapeutics
        ",200,Private,"
About Pear Therapeutics 
At Pear, our mission is clear: we are pioneers in Prescription Digital Therapeutics, or PDTs.  Our cross-functional team operates at the intersection of biotechnology and software technology.  Pear discovers, develops, and delivers clinically-validated software-based therapeutics to provide better outcomes for patients, smarter engagement and tracking tools for clinicians, and cost-effective solutions for payers. Every day, we push the boundaries of technology to transform medicine. Pear has a pipeline of products and product candidates across therapeutic areas, including mental health disorders, severe insomnia and multiple sclerosis. Our lead product, reSET®, treats Substance Use Disorder, and was the first PDT to receive marketing authorization from the FDA to treat disease. Pear's second product candidate, reSET-O™ for the treatment of Opioid Use Disorder, is currently under review by the FDA with Breakthrough Designation.  For more information, visit us at www.peartherapeutics.com. 
TEAM:Our team of engineers, based in San Francisco, uses a pragmatic agile process toquickly deliver treatments to patients. We treat each other well, believe in buildinga diverse culture of collaboration, and are serious about making Pear a place that’sgood for both those who work here and the patients we serve.
POSITION:We’re looking for someone to join our Platform Team, responsible for building theunderlying shared libraries and APIs that serve all our various applications.
Come use your engineering talents to help people living with serious diseases, aswe progress our pipeline across a range of therapeutic areas, including addiction,MS, schizophrenia and beyond.Pear’s deep knowledge and experience in the biotech space has set us up with greatpartnerships and a strong product roadmap. Our engineers are platform-izing ourarchitecture and building new mobile applications.
OUR TECH STACK:Mobile: React Native + Redux: This is what our patients interact with.Web: React + Redux + Webpack: This is what our doctors interact with.API: NodeJS + Restify w/MySQL and Postgres: This is how our apps interactwith our platform.
Testing: Enzyme, Mocha + Chai + Sinon, Appium, Jest: This makes sure it allworks.
RESPONSIBILITIES:

Architect and develop platform software for a wide range of digital medicine
apps.
Develop back-end APIs and data structures.
Gather functional requirements, develop technical specifications, and help plan the project.
Build for testing and resultant quality.
Work cross-functionally with Product Management, DevOps, QA,
Regulatory, Clinical, and others.

QUALIFICATIONS:

Experience designing and developing platform software.
Deep experience with NodeJS. You should know things like what makes nodeJS different from other back-end languages, how it scales, and what benefits and drawbacks it has for various project types.
Solid experience with ES6 JavaScript. Experience with JavaScript frameworks such as restify, express, and sequelize.
Experience with methodical testing, test-driven development (TDD), and various testing patterns.
Experience with databases such as MySQL, Postgres, etc.
Experience with web services (REST, GraphQL, XML/JSON over HTTP, etc.) to connect business systems, interact with application data or analytics.
Experience with Agile development, SCRUM, or Extreme Programming methodologies.
Preferred: Experience with Docker, GIT SCM, and AWS.
 ","Mid-Level, Senior",Biotechnology,Full-time,/jobs/204842/senior-platform-engineer-pear-therapeutics,2019-01-07 21:51:19.095266,-,Full Stack Developer,0,0,0.0,2
Senior Java Developer,"java-ee, spring, oracle, weblogic, jboss",Remote,"Califórnia, EUA",Los Angeles,"Integrated Data Services (IDS)
        ",200,Private,"
Senior Java Developer
Los Angeles, CA; Washington D.C.; Rochester, NY; Dayton, OH
Company Overview:
Integrated Data Services, Inc. (IDS) is a leading provider of custom software products and Government financial management services. IDS was founded in 1997 in El Segundo, CA, and since that time has seen tremendous growth and success. Currently IDS has offices supporting customers nationwide. By providing customers with fast, efficient and reliable information systems and support services, IDS has become a preferred provider of financial and programmatic systems, services, and solutions across a wide variety of Government agencies.
Position Description:
IDS is seeking a Senior Java Developer with an expert understanding of the Java Platform, Enterprise Edition (Java EE) specifications, expertise with the Spring MVC framework and expertise with Web Services and REST APIs. You will be responsible for the architecture and development of Java EE and Spring applications, which will provide data and business logic support for HTML5 SPAs and external APIs. We’re looking for somebody who is a confident problem solver and communicator, who proactively challenges traditional solutions.
Responsibilities include, but are not limited to:

Java EE application full life cycle development including specifying, building and deploying on application servers and Web Services applications.
Develop high quality software for web-based applications, create fast, easy-to-use, high volume production applications, and develop prototypes quickly.
Contribute in the architecture and implementation of changes across our product base.
Develop detailed technical analysis and design specifications based on functional requirements.
Collaborate heavily with fellow developers, designers and analysts to solve problems.
Create and improve existing reusable components.
Optimize web application middle-tier to maximize speed and scale.
Set and follow coding standards.

Physical & Mental Qualifications:

Must be able to lift/carry at least 15 lbs.
Must be able to remain in a stationary position 80% of the time.
Must consistently work and type on a computer and may be required to move about inside the office to access file cabinets, office supplies, etc.

Knowledge and Skills:

7+ years of experience developing web applications using Java EE and Spring.
7+ years of experience with WebLogic, JBoss or WebSphere.
3+ years of experience with Oracle and PL/SQL.
1+ years experience with Single Page Applications (SPA) utilizing AngularJS, React, or Node.js.
Must be fluent in middle-tier technologies including, but not limited to Servlet, JSP, JPA, XML, XSLT, XPATH, XSD, SOAP, Web Services, REST, JSON, ANT and PKI.
Experience with continuous integration tools (Jenkins and Hudson) and source control systems (Subversion, Git).
Good understanding of the current state of modern web development.
Disciplined approach to testing, automated testing (JUnit), and quality assurance.

Education and Work Experience:
This position requires a minimum of a 4-year degree from an accredited college or university in engineering, information technology, computer science, or other related disciplines. Equivalent work experience may be acceptable in lieu of a degree.
Certificates and Licenses:
Applicants selected for employment will be subject to a Federal background investigation and must meet additional eligibility requirements for access to classified information or materials.
Travel:
Travel will be required.
Hours:
Normal work schedule will be 8:00 A.M. to 5:00 P.M., Monday through Friday. May be required to work additional hours and/or weekends, as needed, to meet deadlines or to fulfill travel obligations.
Salary Range:
Commensurate with experience.
Company offers full-benefits package including health, dental, vision and 401K plans. EOE Male/Female/Disability/Veteran. A submission of a resume is an expression of interest and not considered an application.
For more information, visit www.get-integrated.com. To apply, please send a resume and cover letter to jobs@get-integrated.com and reference code: IDS-WD-VL.
Please note: All candidates for this position will be required to complete a skills based test to demonstrate expertise in the following areas: 1) a programmer’s ability to write a recursive function; 2) a programmer’s ability to handle boundary conditions; and 3) a programmer’s ability to come up with a performant solution. The test should take between 2-4 hours. 
**U.S. citizenship and/or green card is required; H1-B visas and other visas are not being sponsored. Relocation expenses are NOT compensated. All jobs are employer paid; no fees to candidates. Third parties or agencies inquiries are not being accepted.** ",Senior,"Financial Technology, Government, Software Development",Full-time,/jobs/157266/senior-java-developer-integrated-data-services-ids,2019-01-07 21:51:19.125580,-,Full Stack Developer,0,0,0.0,3
Senior Oracle PLSQL Developer,"plsql, oracle, sql, rdbms, database, sysadmin",Remote,"Califórnia, EUA",Los Angeles,"Integrated Data Services (IDS)
        ",200,Private,"
Senior Oracle PLSQL Developer
Los Angeles, CA; Washington D.C.; Rochester, NY; Dayton, OH
Company Overview:
Integrated Data Services, Inc. (IDS) is a leading provider of custom software products and Government financial management services. IDS was founded in 1997 in El Segundo, CA, and since that time has seen tremendous growth and success. Currently IDS has offices supporting customers nationwide. By providing customers with fast, efficient and reliable information systems and support services, IDS has become a preferred provider of financial and programmatic systems, services, and solutions across a wide variety of Government agencies.
Position Description:
IDS is seeking a Senior Oracle PL/SQL Developer with an expert understanding of the Oracle RDBMS, SQL and PL/SQL. You will be responsible for the architecture and development of Oracle databases, SQL scripts, PL/SQL Scripts and database Packages, Triggers and Types. We’re looking for somebody who is a confident problem solver and who proactively challenges traditional solutions. Candidate will have opportunities to expand their skill set by working on JAVA EE applications and front-end projects using HTML/CSS/SASS, AngularJS and JavaScript.
Responsibilities include, but are not limited to:

Oracle database full life cycle development including data modeling, database architecture, SQL and PL/SQL development, unit testing and support.
Develop high quality software for web-based applications, create fast, easy-to-use, high volume production code, and develop prototypes quickly.
Contribute in the architecture and implementation of changes across our product base.
Develop detailed technical analysis and design specifications based on functional requirements.
Collaborate heavily with fellow developers, designers and analysts to solve problems.
Create and improve existing reusable database objects.
Optimize and tune SQL queries to maximize speed and scale.
Set and follow coding standards.

Physical & Mental Qualifications:

Must be able to lift/carry at least 15 lbs.
Must be able to remain in a stationary position 80% of the time.
Must consistently work and type on a computer and may be required to move about inside the office to access file cabinets, office supplies, etc.

Knowledge and Skills:

7+ years of experience developing Oracle SQL and PL/SQL.
Experience with continuous integration tools (Jenkins and Hudson) and source control systems (SubVersion, Git).
Disciplined approach to testing and quality assurance.
Experience developing JAVA EE applications a plus.
Experience developing Single Page Applications (SPA) utilizing Bootstrap, AngularJS, backbone.js or Node.js a plus. 

Education and Work Experience:
This position requires a minimum of a 4-year degree from an accredited college or university in engineering, information technology, computer science, or other related disciplines. Equivalent work experience may be acceptable in lieu of a degree.
Certificates and Licenses:
Applicants selected for employment will be subject to a Federal background investigation and must meet additional eligibility requirements for access to classified information or materials.
Travel:
Travel will be required.
Hours:
Normal work schedule will be 8:00 A.M. to 5:00 P.M., Monday through Friday. May be required to work additional hours and/or weekends, as needed, to meet deadlines or to fulfill travel obligations.
Salary Range:
Commensurate with experience. 
Company offers full-benefits package including health, dental, vision and 401K plans. IDS is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regards to race, creed, age, sex, gender, physical or mental disability, sexual orientation, gender identity, gender expression, ancestry, pregnancy, perceived pregnancy, medical condition, marital status, familial status, color, religion, uniformed services, veteran status, national origin, genetic information, or any other characteristic protected under local, state or Federal law. A submission of a resume is an expression of interest and not considered an application.
For more information, visit www.get-integrated.com. To apply, please send a resume and cover letter to jobs@get-integrated.com and reference code: SO-OD-VL. 
Please note: All candidates for this position will be required to complete a skills based test to demonstrate expertise in the following areas: 1) a programmer’s ability to write a recursive function; 2) a programmer’s ability to handle boundary conditions; and 3) a programmer’s ability to come up with a performant solution. The test should take between 2-4 hours. 
**U.S. citizenship and/or green card is required; H1-B visas and other visas are not being sponsored. Relocation expenses are NOT compensated. All jobs are employer paid; no fees to candidates. Third parties or agencies inquiries are not being accepted.** ",Senior,"Financial Technology, Government, Software Development",Full-time,/jobs/141988/senior-oracle-plsql-developer-integrated-data-services-ids,2019-01-07 21:51:19.160225,-,Database Administrator,0,0,0.0,4
Senior U/I Developer,"javascript, angularjs, html, ui-design, angular",Remote,"Califórnia, EUA",Los Angeles,"Integrated Data Services (IDS)
        ",200,Private,"
Senior UI Developer
Los Angeles, CA; Washington D.C.; Rochester, NY; Dayton, OH
Company Overview:
Integrated Data Services, Inc. (IDS) is a leading provider of custom software products and Government financial management services. IDS was founded in 1997 in El Segundo, CA, and since that time has seen tremendous growth and success. Currently IDS has offices supporting customers nationwide. By providing customers with fast, efficient and reliable information systems and support services, IDS has become a preferred provider of financial and programmatic systems, services, and solutions across a wide variety of Government agencies.
Position Description:
IDS is seeking a Senior UI Developer with an expert understanding of UI design. You will be responsible for the design and development of web applications using Angular and Angular. In addition to writing front-end code, you must be able to work with others to take a design concept and develop it into a production ready product. We’re looking for somebody who is a confident problem solver and who proactively challenges traditional solutions.
Responsibilities include, but are not limited to:

Write client-side code for web-based applications, create fast, easy-to-use, high volume production applications, and develop prototypes quickly.
Contribute in the design and implementation of UI changes across our product base.
Develop detailed technical analysis and design specifications based on functional requirements.
Collaborate heavily with fellow developers, designers and analysts to solve problems.
Develop complete front-end stack of projects using HTML/CSS/SASS, Angular (6+), Angular and JavaScript.
Create and improve existing reusable components.
Integrate front-end UI with backend services.
Optimize web applications to maximize speed and scale
Set and follow coding standards.

Physical & Mental Qualifications:

Must be able to lift/carry at least 15 lbs.
Must be able to remain in a stationary position 80% of the time.
Must consistently work and type on a computer and may be required to move about inside the office to access file cabinets, office supplies, etc.

Knowledge and Skills:

5+ years of experience developing dynamic, highly interactive user interfaces for the web.
1+ years using Angular or Angular.
Must be fluent in front-end technologies including, but not limited to, TypeScript, JavaScript, HTML, CSS, SASS, XML, and familiar with one or more JavaScript libraries (jQuery, D3, and React).
Good understanding of the current state of modern web development.
Disciplined approach to testing and quality assurance.

Education and Work Experience:
This position requires a minimum of a 4-year degree from an accredited college or university in engineering, information technology, computer science, or other related disciplines. Equivalent work experience may be acceptable in lieu of a degree.
Certificates and Licenses:
Applicants selected for employment will be subject to a Federal background investigation and must meet additional eligibility requirements for access to classified information or materials.
Travel:
Travel will be required.
Hours:
Normal work schedule will be 8:00 A.M. to 5:00 P.M., Monday through Friday.  May be required to work additional hours and/or weekends, as needed, to meet deadlines or to fulfill travel obligations.
Salary Range:
Commensurate with experience.
Company offers full-benefits package including health, dental, vision and 401K plans.  IDS is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regards to race, creed, age, sex, gender, physical or mental disability, sexual orientation, gender identity, gender expression, ancestry, pregnancy perceived pregnancy, medical condition, marital status, familial status, color, religion, uniformed services, veteran status, national origin, genetic information, or any other characteristic protected under local, state or Federal law.  A submission of a resume is an expression of interest and not considered an application.
For more information, visit www.get-integrated.com. To apply, please send a resume and cover letter to jobs@get-integrated.com and reference code: IDS-UD-VL.
Please note: All candidates for this position will be required to complete a skills based test to demonstrate expertise in the following areas: 1) a programmer’s ability to write a recursive function; 2) a programmer’s ability to handle boundary conditions; and 3) a programmer’s ability to come up with a performant solution. The test should take between 2-4 hours. 
**U.S. citizenship and/or green card is required; H1-B visas and other visas are not being sponsored. Relocation expenses are NOT compensated.  All jobs are employer paid; no fees to candidates. Third parties or agencies inquiries are not being accepted.** ",Senior,"Financial Technology, Government, Software Development",Full-time,/jobs/157265/senior-u-i-developer-integrated-data-services-ids,2019-01-07 21:51:19.193965,-,"Frontend Developer, Designer",0,0,0.0,5
Applied Machine Learning Engineer,"machine-learning, computer-vision, python, java, amazon-web-services",Paid relocation,"Texas, EUA",Austin,"Alegion
        ",50,VC Funded,"
THE OPPORTUNITY
The Applied Machine Learning Engineer is a key member of Alegion’s Software Engineering team. As an Applied Machine Learning Engineer, you are responsible for implementing and maintaining AI capabilities in Alegion’s SaaS AI Enablement Platform and related software products. The Applied Machine Learning Engineer possesses extensive experience in evaluating, integrating and deploying machine learning algorithms in a SaaS software platform.
WHAT YOU WILL DO

Participate as a technical member of an Agile team developing Alegion’s AI Enablement Platform and related software products
Build, train, and monitor machine learning production models as well as tune and optimize existing machine learning algorithms
Integrate machine learning algorithms into the Alegion platform


Collaborate with architects and software engineers on architectural reviews and design discussions


Work closely with the Product Owner to groom user stories, including providing implementation details, estimating effort, and contributing to acceptance criteria


Develop clean, well-designed, reusable, scalable code following TDD practices


Strive to achieve a high level of unit, integration and acceptance test coverage


Pair program with fellow engineers and perform code reviews of their design and code


Share knowledge with peers in dev shares, code dojos, and lightning talks


Embody Alegion’s cultural values in your everyday work and interactions

QUALIFICATIONS

Bachelor’s or Masters degree in Engineering, Computer Science, Statistics, Mathematics or related field with coursework relevant to machine learning
2+ years of experience integrating machine learning algorithms into cloud platforms, including resource provisioning, installation, scaling, and validation, as well as building, training, and monitoring the machine learning production models
5+ years of experience in developing software in Java, C++/C, and/or Python
Experience with all or some of the following machine learning, deep learning, computer vision, image processing, and data and image analysis tools (Tensorflow, Keras, Caffe2, Torch/PyTorch  OpenCV/FastCV, numpy, scipy, and scikit-learn)
Experience with data transformations, API wrappers and output formats used with machine learning algorithms
Hands-on, in-depth experience with AWS or other cloud infrastructure technologies
Experience practicing OOP, TDD, CI/CD in an agile software development environment
Crowdsourcing experience a plus, but not required
Start-up experience and entrepreneurial spirit highly preferred
Excellent communication skills (verbal, written, presentation)
Ability to handle multiple competing priorities in a fast-paced environment
 ","Mid-Level, Senior","Artificial Intelligence, Computer Vision, Machine Learning",Full-time,/jobs/217831/applied-machine-learning-engineer-alegion,2019-01-07 21:51:19.229565,-,Full Stack Developer,0,0,0.0,6
Consulting Level Data Scientist ,"r, python, spark, sql, git",,"Carolina do Norte, EUA",Raleigh,"Hays
        ",10000,Public,"
Hays Specialist Recruitment is working in partnership with PointSource to manage the recruitment of this positionThis position is NOT eligible for subcontractors or those that require sponsorship.PointSource is looking for a Data Scientist for a permanent position in Raleigh. A myriad of perks and benefits are provided here. The Bring your on Device program allows you to pick your own device, paid for by the company and wireless reimbursement is offered as well. Plenty of time of is provided including Vacation, Holiday Break and Unlimited Sick Time. Also offered are Flexible hours, ""Beer O Clock"", On Site Yoga and additional training and professional development. If all that still hasn't gotten you eye, they also offer a Quarterly Bonus and a Vacation Bonus!CONSULTING LEVEL DATA SCIENTIST - PERM - RALEIGH, NC   Consulting Level Data Scientist Requirements:  * R - Shiny, Lattice or ggplot2, dplyr, r markdown, parallel or data.table,  * Python - NumPy, Pandas, Jupyter, Scipy, sckit-learn, Matplotlib / Seaborn / Plotly / etc. * Spark / MLLib desirable * SQL, NoSQL * GIT * TensorFlow, Theano, other deep learning Frameworks * Ability to travel up to 50%   Consulting Level Data Scientist Responsibilities:  * Knowledge of the business model and client consumer cycle. * Identify enhancement opportunities in the production cycle. * Analyzing the opportunity to associate public data sources. * Aid in ad-hoc analysis for business insights. * Understanding usability pain points   Problem framing  * Understand, guide and define the actionable output and required decision support to be obtained from a model * Explicit and mathematize working hypothesis to either validate or reject through modelling * Define follow-through and decisions to be made upon findings from models   Data analysis * Analyze data sources for completeness of data semantics and gaps * Develop the process to assess information quality and process to be fed into a mathematical model   Modelling * Define the appropriate modelling strategy * Tune / calibrate / train the model for the required accuracy / generality tradeoff * Extract actionable output from model * Analyze, interpret and present output * Build required analytical pipelines * Circle back to a refined problem definition to keep improving performance and actionability related to business strategy and capabilities   Why Hays?    You will be working with a professional recruiter who has intimate knowledge of the Information Technology industry and market trends . Your Hays recruiter will lead you through a thorough screening process in order to understand your skills, experience, needs, and drivers. You will also get support on resume writing, interview tips, and career planning, so when there's a position you really want, you're fully prepared to get it. Additionally, if the position is a consulting role, Hays offers you the opportunity to enroll in full medical, dental or vision benefits.    * Medical  * Dental  * Vision  * 401K  * Life Insurance ($20,000 benefit) * ATOP - Accrued time off program * Consultant lunches and outings  * Care packages/Survival packs * Dedicated Consulting Services Representative   Nervous about an upcoming interview? Unsure how to write a new resume?   Visit the Hays Career Advice section to learn top tips to help you stand out from the crowd when job hunting.    Hays is an Equal Opportunity Employer.   Drug testing may be required; please contact a recruiter for more information.  ",Mid-Level,"digital recruitment, IT Recruitment, Recruiting",Full-time,/jobs/173557/consulting-level-data-scientist-hays,2019-01-07 21:51:19.258602,-,Data Scientist,0,0,0.0,7
Tech focused Data Scientist – R&D Platforms Analytics Lead,"scala, hadoop, go, r, apache-spark",Visa sponsor,Australia,Sydney,"The Quantium Group
        ",1000,Private,"
For over 15 years Quantium have combined the best of human and artificial intelligence to power possibilities for individuals, organisations and society. Our solutions make sense of what has happened and what will, could or should be done to re-shape industries and societies around the needs of the people they serve.
Times and technology have changed, but this remains our goal. Instead of wrangling single, SQL-based databases, our MapR Hadoop platform runs across 300 nodes with multiple clusters using the latest big data technology.
We’re looking for that rarity to lead our future technology and approach. You’ll be testing out any data orientated tech you want – you think we can take that 4 hour processing time down to 10 mins using Kafka? Give it a go! Prove it. Think that Scala has had its’ day and we need to move to something more useable? Show us a model.
Whatever you can prove, we’ll go for, just bear in mind, you’re the subject matter expert so you’re going to have to field the questions and teach people how to use it.
FAQ:
Sooo… I have a Sandbox to play in?
Kinda… you’ll be given a huge amount of free rein to try a range of technologies and apply them to our problem sets. You will also have to prove to professional sceptics that this is the right path, and then support your initiatives with hard data.
How does this team work?
You’ll be joining the Data and Platforms Team as their Lead Analyst. The team is responsible for investigating, testing and implementing the technology solutions that power our insight. There are 8 engineers and 6 analysts in this team. You’ll have a team of 4 Analysts under you and work closely with the engineering team to implement your ideas. 
What are you looking for in the ideal candidate?
You’ll be a career Analyst or Data Scientist. Data scale is something you’re very used to; machine learning, decision trees, neural networks (insert more buzzwords) will all be areas you’re familiar with, along with the code to use them. You’ll be at a time in your career where you’re a bit bored of working on client problems, to client timelines and are fascinated by technology. You’ll love tinkering, experimenting with new tech, and most importantly, be used to following through on your recommendations. 
Do you have a bullet point checklist for me to check off my suitability?
We know people are not bullet points but sure thing!
You have:

5+ years Analytics experience including carrying out data analytics or data science work
Previous experience working with large complex datasets and associated Big Data technologies e.g. Scala, Spark, Hadoop, Zeppelin or similar
Demonstrable ability to work with and influence senior stakeholders
Performance management of more junior analysts
Product management experience desirable
Experience writing and delivering technical training that convey complex analysis and ideas in simple messages
Experience updating and managing content on Confluence or other knowledge share sites
Tertiary qualifications in engineering, mathematics, actuarial studies, statistics, physics, or a related discipline

Please note, this role is not suitable for Graduates. If you are a graduate and you’d like information about our Graduate Academy please visit https://au.gradconnection.com/employers/quantium/about-us/ ",Lead,"Big Data, Data & Analytics, Data Science",Full-time,/jobs/204837/tech-focused-data-scientist-r-d-platforms-the-quantium-group,2019-01-07 20:51:19.290449,-,Data Scientist,0,0,0.0,8
"React Native Engineer, Senior / Lead","react-native, reactjs, mobile, javascript, java",,Australia,Sydney,"Hays plc
        ",10000,Public,"
Hays have teamed up with NAB (National Australia Bank) in their search for a Senior / Lead React Native Engineer.
This will be an extremely varied position, offering you the opportunity to work on any number of their 475 internal applications / platforms which range from front office trading systems to currency converting tools.
Teams within the company are highly specialised and small in scale, which means you have complete ownership; researching solutions, making decisions and owning the outcomes.
If you would like to hear more, please apply and we can have a conversation. ","Senior, Lead","digital recruitment, IT Recruitment, Recruiting",Full-time,/jobs/201842/react-native-engineer-senior-lead-hays-plc,2019-01-07 20:51:19.322576,A$,Mobile Developer,2,37,19.5,9
